refid,date,recipient,recipient_cleaned,office,amount
1231,01/14/2014,The Martha Coakley Committee,Martha Coakley,Governor of Massachusetts,200.00
1231,01/28/2014,Conroy for Treasurer,Thomas Conroy,"State Treasurer, Massachusetts",200.00
1231,02/03/2014,Grossman,Steve Grossman,Governor of Massachusetts,200.00
1231,03/04/2014,Warren Tolman for AG,Warren Tolman,Attorney General of Massachusetts,200.00
1231,03/19/2014,Jason Lewis,Jason Lewis,"Senator, 5th Middlesex District",200.00
1231,03/28/2014,The Downing Committee,Benjamin Downing,"Senator, Berkshire, Hampshire, Franklin and Hampden District",200.00
1231,04/07/2014,Berwick,Donald Berwick,Governor of Massachusetts,200.00
1231,04/07/2014,The Garrett Bradley,Garrett Bradley,"Representative, 3rd Plymouth District",200.00
1231,04/15/2014,The Curtatone Committee,Joseph Curtatone,"Mayor, Somerville",200.00
1231,04/17/2014,Jennifer Flanagan,Jennifer L. Flanagan,"Senator, Worcester and Middlesex District",200.00
1231,04/17/2014,Lesser Committee,Eric Lesser,"Senator, 1st Hampden and Hampshire District",200.00
1231,04/29/2014,The Rosenberg Committee,Stanley Rosenberg,"Senator, Hampshire, Franklin and Worcester District",200.00
1231,05/01/2014,Linda Dorcena Forry,Linda Dorcena Forry,"Senator, 1st Suffolk District",200.00
1231,05/05/2014,Juliette Kayem for MA,Juliette Kayyem,Governor of Massachusetts,200.00
1231,05/06/2014,DeLeo Committee,Robert DeLeo,"Representative, 19th Suffolk District",200.00
1231,05/06/2014,Sal DiDomenico,Sal DiDomenico,"Senator, Middlesex and Suffolk District",200.00
1231,05/22/2014,Thomas McGee,Thomas McGee,"Senator, 3rd Essex and Middlesex",200.00
1231,05/30/2014,Mike Lake,Mike Lake,Lieutenant Governor of Massachusetts,200.00
1231,06/19/2014,Mike Day,Michael S. Day,"Representative, 31st Middlesex District",200.00
1231,06/24/2014,Zakim Committee,Zakim Committee,"Boston City Councillor, District 8",200.00
1231,03/18/2014,Jason Lewis,Jason Lewis,"Senator, 5th Middlesex District",100.00
1231,04/08/2014,Garrett Bradley,Garrett Bradley,"Representative, 3rd Plymouth District",100.00
1231,04/17/2014,Jennifer Flanagan,Jennifer L. Flanagan,"Senator, Worcester and Middlsex District",100.00
1231,05/08/2014,Sal DiDomenico,Sal DiDomenico,"Senator, Middlesex and Suffolk District",100.00
1231,07/29/2014,Marian Ryan,Marian Ryan,Middlesex District Attorney,200.00
1231,08/06/2014,Bart Timilty,Bart Timilty,Governor's Council Ã¢Â€Â” 2nd District,200.00
1231,09/17/2014,Martin J. Walsh,Martin Walsh,Boston Mayor,200.00
1231,09/29/2014,Deborah Goldberg Committee,Deborah Goldberg,MA Treasurer,200.00
1231,10/01/2014,Dan Wolf,Daniel Wolf,"Senate, Cape and Islands",200.00
1231,10/14/2014,O'Connor Ives Committee,Kathleen O'Connor Ives,"Senate, First Essex",200.00
1231,10/23/2014,The Tito Jackson,Tito Jackson,Boston City Councilor,200.00
1231,10/24/2014,The Jim Cantwell Committee,James M. Cantwell,"Representative, Fourth Plymouth",200.00
1231,12/03/2014,The Setti Warren Committee,Setti Warren,Newton Mayor,200.00
1231,07/22/2014,Garlick Committee,Denise Garlick,"Representative, 13th Norfolk",100.00
1231,09/08/2014,Conroy for Treasury,Thomas Conroy,MA Treasurer,200.00
1231,09/29/2014,Deborah Goldberg Committee,Deborah Goldberg,MA Treasurer,200.00
1231,10/01/2014,Dan Wolf,Daniel Wolf,"Senate, Cape and Islands",200.00
1231,10/05/2014,Martin J. Walsh,Martin Walsh,Boston Mayor,200.00
1231,10/10/2014,O'Connor Ives Committee,Kathleen O'Connor Ives,"Senate, First Essex",200.00
1232,04/25/2014,Warren Tolman,Warren Tolman,Attorney General,200.00
1232,05/20/2014,Charlie Baker,Charles Baker,Governor,200.00
1232,06/27/2014,Martha Coakley,Martha Coakley,Governor,200.00
1232,11/14/2014,The Rodrigues Committee,Michael J. Rodrigues,State Senate - First Bristol and Plymouth,200.00
1233,03/05/2014,Brian S. Dempsey,Brian Dempsey,Third Essex House District,200.00
1233,12/03/2014,Stanley Rosenberg,Stanley Rosenberg,"Hampshire, Franklin and Worcester Senate District",200.00
1238,03/24/2014,Baker Committee,Charles Baker,Massachusetts Governor,200.00
1238,04/03/2014,Warren Tolman Committee,Warren Tolman,Attorney General for Massachusetts,200.00
1238,07/22/2014,Coakley Committee,Martha Coakley,Governor - Massachusetts,200.00
1238,08/11/2014,Shaunna O'Connell Committee,Shaunna O'Connell,Massachusetts Representative - Taunton,150.00
1238,10/22/2014,John Rogers Committee,John H. Rogers,Massachusetts Representative - Norwood,150.00
1241,10/14/2014,Committee to elect Anthony Petruccelli,Anthony Petruccelli,1st Suffolk and Middlesex Senate District,100.00
1245,01/29/2014,Stanley Rosenberg,Stanley Rosenberg,"Senate- Hampshire, Franklin & Worcester",200.00
1245,01/30/2014,Peter Kocot,Peter Kocot,House - 1st Hampshire,200.00
1245,02/12/2014,Brian Joyce,Brian Joyce,"Senate - Norfolk, Bristol & Plymouth",200.00
1245,02/25/2014,Richard Moore,Richard Moore,Senate - Worcester & Norfolk,200.00
1245,03/05/2014,Brian Dempsey,Brian Dempsey,House - 3rd Essex,200.00
1245,03/06/2014,Jeffrey Sanchez,Jeffrey Sánchez,House - 15th Suffolk,200.00
1245,03/09/2014,Elizabeth Poirier,Elizabeth Poirier,House - 14th Bristol,200.00
1245,03/13/2014,James Welch,James T. Welch,Senate - Hampden,200.00
1245,03/25/2014,Tackey Chan,Tackey Chan,House - 2nd Norfolk,200.00
1245,04/01/2014,Stephen Brewer,Stephen Brewer,"Senate - Worcester, Hampden, Hampshire & Middlesex",200.00
1245,04/02/2014,Bradley Jones,Bradley H. Jones,House - 20th Middlesex,200.00
1245,04/04/2014,Garrett Bradley,Garrett Bradley,House - 3rd Plymouth,200.00
1245,04/09/2014,Mark Cusack,Mark J. Cusack,House - 5th Norfolk,200.00
1245,04/15/2014,Charlie Baker,Charles Baker,Governor,200.00
1245,04/16/2014,John Scibak,John Scibak,House - 2nd Hampshire,200.00
1245,04/16/2014,Paul Brodeur,Paul Brodeur,House - 32nd Middlesex,200.00
1245,04/16/2014,Hank Naughton,Harold Naughton,House - 12th Worcester,200.00
1245,05/06/2014,Joseph Wagner,Joseph F. Wagner,House - 8th Hampden,200.00
1245,05/14/2014,Thomas Kennedy,Thomas P. Kennedy,Senate - 2nd Bristol & Plymouth,200.00
1245,05/14/2014,Thomas Conroy,Thomas Conroy,State Treasurer,200.00
1245,05/14/2014,Committee for Democratic House,Committee for a Democratic House,House of Representatives,200.00
1245,05/19/2014,Paul Mark,Paul Mark,House - 2nd Berkshire,200.00
1245,05/22/2014,Thomas McGee,Thomas McGee,Senate - 3rd Essex & Middlesex,200.00
1245,06/11/2014,David Muradian,David Muradian,House - 9th Worcester,200.00
1245,06/18/2014,Kevin Honan,Kevin G. Honan,House - 17th Suffolk,200.00
1245,06/19/2014,Robert DeLeo,Robert DeLeo,House - 19th Suffolk,200.00
1245,07/01/2014,Warren Tolman,Warren Tolman,Attorney General,200.00
1245,07/13/2014,Barbara L'Italien,Barbara L'Italien,Senate - 2nd Essex & Middlesex,200.00
1245,07/21/2014,John Lawn,John J. Lawn,House - 10th Middlesex,200.00
1245,07/23/2014,Michael Rodrigues,Michael J. Rodrigues,Senate - 1st Bristol & Plymouth,200.00
1245,07/31/2014,Mark Pacheco,Marc R. Pacheco,Senate - 1st Plymouth & Bristol,200.00
1245,09/02/2014,Barry Finegold,Barry Finegold,State Treasurer,200.00
1245,09/02/2014,Michael Sullivan,Michael Sullivan,Middlesex County District Attorney,200.00
1245,09/22/2014,Karen Polito,Karyn Polito,Lt. Governor,200.00
1245,09/26/2014,John Keenan,John F. Keenan,Senate - Norfolk & Plymouth,200.00
1245,10/30/2014,John Rogers,John H. Rogers,House - 12th Norfolk,200.00
1250,02/25/2014,Robert DeLeo,Robert DeLeo,"State Representative, 19th Suffolk",200.00
1250,04/15/2014,Joseph Wagner,Joseph F. Wagner,"State Representative, 8th Hampden",200.00
1250,04/16/2014,Jennifer Flanagan,Jennifer L. Flanagan,"State Senator, Worcester and Middlesex",200.00
1250,05/21/2014,Brian Dempsey,Brian Dempsey,"State Representative, 3rd Essex",200.00
1250,09/18/2014,Polito Committee,Karyn Polito,Lieutenant Governor,200.00
1250,09/24/2014,Anthony Petruccelli,Anthony Petruccelli,"State Senate, First Suffolk and Middlesex",200.00
1250,10/01/2014,The Baker Committee,Charles Baker,Governor,200.00
1250,10/22/2014,The Keenan Committee,John F. Keenan,"State Senate, Norfolk and Plymouth",200.00
1250,10/22/2014,Stan Rosenberg,Stanley Rosenberg,"State Senate, Hampshire, Franklin, Worcester",200.00
1254,09/30/2014,Christine Barber,Christine Barber,State Representative,50.00
12587,05/09/2014,Felix D. Arroyo,Felix Arroyo,"Register of Probate, Suffolk County",125.00
12587,06/26/2014,Ivette Hernandez,Ivette Hernandez,"State Rep, 10th Hamden",100.00
12601,01/23/2014,Daniel Ryan,Daniel J. Ryan,"House, 2nd Suffolk District",50.00
12601,03/28/2014,Aaron Saunders,Aaron Saunders,"Senate, 1st Hampden and Hampshire",25.00
12601,05/21/2014,Patrick Leahy,Patrick Leahy,"Senate, 2nd Hampden and Hampshire",25.00
12601,08/26/2014,Barry Finegold,Barry Finegold,State Treasurer,100.00
12624,04/11/2014,Robert DeLeo,Robert DeLeo,"State Representative, 19th Suffolk District",100.00
12624,05/07/2014,Brian S. Dempsey,Brian Dempsey,"State Representative, 3rd Essex District",100.00
12624,06/24/2014,Stanley C. Rosenberg,Stanley Rosenberg,"State Representative, Hampshire, Franklin and Worcester District",100.00
12624,07/07/2014,Warren G. Tolman,Warren Tolman,Candidate for Attorney General,100.00
12624,09/24/2014,Michael Finn,Michael J. Finn,"Senator, Sixth Hampden District",200.00
12624,10/01/2014,Charlie Baker,Charles Baker,Republican Candidate for Governor,125.00
12624,10/01/2014,Martha Coakley,Martha Coakley,Democratic Candidate for Governor,125.00
12624,10/01/2014,Committee To Elect Maura Healey,Maura Healey,Candidate for Attorney General,75.00
12624,12/10/2014,Anthony Petrocelli,Anthony Petruccelli,"Senator, First Suffolk Middlesex District",100.00
1262,02/10/2014,Chris Fallon,Christopher G. Fallon,Senate- Thirty-third Middlesex,200.00
1262,03/06/2014,Anthony Petrucelli,Anthony Petruccelli,Senate- 1st Suffolk and Middlesex,200.00
1262,03/13/2014,Jim Welch,James T. Welch,Senate- Hampden,200.00
1262,03/25/2014,Joe Wagner,Joseph F. Wagner,Representative- 8th Hampden,200.00
1262,03/27/2014,Ron Mariano,Ronald Mariano,Representative- 3rd Norfolk,200.00
1262,03/29/2014,Brad Jones,Bradley H. Jones,Representative- 20th Middlesex,100.00
1262,04/02/2014,Bob DeLeo,Robert DeLeo,Representative- 19th Suffolk,200.00
1262,04/02/2014,Mike Rodriques,Michael J. Rodrigues,Senate- 1st Bristol and Plymouth,100.00
1262,04/02/2014,Steve Kulik,Stephen Kulik,Representative- 1st Franklin,100.00
1262,04/10/2014,Aaron Saunders,Aaron Saunders,Senate- 1st Hampden and Hampshire,100.00
1262,04/16/2014,Tackey Chan,Tackey Chan,Representative- 2nd Norfolk,200.00
1262,04/16/2014,John Scibak,John Scibak,Representative- 2nd Hampshire,200.00
1262,04/17/2014,Paul Brodeur,Paul Brodeur,Representative- 32 Middlesex,100.00
1262,04/17/2014,Jen Flanagan,Jennifer L. Flanagan,Senate- Worcester and Middlesex,100.00
1262,04/17/2014,Mike Rush,Mike Rush,Senate- Norfolk & Suffolk,100.00
1262,04/17/2014,Hank Naughton,Harold Naughton,Representative- 12 Worcester,200.00
1262,05/01/2014,Brian Joyce,Brian Joyce,"Senator- Norfolk, Bristol and Plymouth District",150.00
1262,05/05/2014,Lou Kafka,Louis Kafka,Representative- 8th Norfolk,100.00
1262,05/05/2014,Therese Murray,Therese Murray,Senate- Plymouth and Barnstable,200.00
1262,05/05/2014,Steve Brewer,Stephen Brewer,"Senate- Worcester, Hampden, Hampshire and Middlesex",200.00
1262,05/05/2014,Committee for a Democratic Senate,Committee for a Democratic Senate,PAC,200.00
1262,05/15/2014,Committee for a Democratic House,Committee for a Democratic House,PAC,150.00
1262,05/15/2014,Tom Kennedy,Thomas P. Kennedy,Senate- 2nd Bristol & Plymouth,200.00
1262,06/17/2014,Carlos Vega,Carlos Vega,Representative- 5th Hampden,50.00
1262,07/30/2014,John Rogers,John H. Rogers,Representative - 12th Norfolk,100.00
1262,07/31/2014,Marc Pacheco,Marc R. Pacheco,Senator - 1 Bristol and Plymouth,100.00
1262,09/20/2014,Jen Flanagan,Jennifer L. Flanagan,Senator - Worcester Middlesex,100.00
1262,09/23/2014,Carlo Basile,Carlo Basile,Representative - 1 Suffolk,100.00
1262,09/29/2014,Shawn Dooley,Shawn Dooley,Representative - 9 Norfolk,100.00
1262,09/29/2014,Angelo D'Emilia,Angelo D'Emilia,Representative - 8 Plymouth,100.00
12639,02/11/2014,Robert A. DeLeo,Robert DeLeo,"State House of Representatives, 19th Suffolk District",150.00
12639,06/11/2014,Richard T. Moore,Richard Moore,"State Senate, Worcester and Norfolk District",150.00
12639,09/12/2014,Jennifer L. Flanagan,Jennifer L. Flanagan,"State Senate, Worcester and Middlesex District",150.00
12642,04/16/2014,The Polito Campaign,Karyn Polito,Candidate for Lieutenant Governor,50.00
12656,06/01/2014,N/A,N/A,N/A,0.00
12656,06/01/2014,N/A,N/A,N/A,0.00
12656,06/01/2014,N/A,N/A,N/A,0.00
12656,06/01/2014,N/A,N/A,N/A,0.00
12656,06/01/2014,N/A,N/A,N/A,0.00
12670,05/28/2014,Richard Moore Committee,Richard Moore,"State Senate, Worcester and Norfolk",200.00
12672,04/22/2014,Provost Committee,Denise Provost,House 27th Middlesex,100.00
12672,06/11/2014,Belanger Committee,Doug Belanger,House 17th Worcester,200.00
12673,02/20/2014,N/a,N/A,n/a,0.00
12690,03/28/2014,Barry Finegold,Barry Finegold,State Treasurer,200.00
12700,06/15/2014,Steve Grossman,Steve Grossman,Governor,25.00
12702,01/23/2014,Robert DeLeo,Robert DeLeo,State Representative 19th Suffolk,200.00
12702,01/24/2014,Charles D. Baker,Charles Baker,Governor of Massachusetts,200.00
12702,01/27/2014,Tony Dang,Tony Dang,State Representative,200.00
12702,03/18/2014,Elizabeth Malia,Elizabeth Malia,State Representative 11th Suffolk,200.00
12702,03/20/2014,Brian Dempsey,Brian Dempsey,State Representative 3rd Essex,200.00
12702,03/28/2014,Warren Tolman,Warren Tolman,MA Attorney General,200.00
12702,04/16/2014,Paul Brodeur,Paul Brodeur,State Representative 32nd Middlesex,200.00
12702,05/13/2014,Stanley Rosenberg,Stanley Rosenberg,"State Senator Hampshire, Franklin & Worcester District",200.00
12702,05/13/2014,Barry R. Feingold,Barry Finegold,State Treasurer,200.00
12702,06/04/2014,Katherine Clark,Katherine Clark,Representative in Congress 5th District,200.00
12702,07/08/2014,Committee to elect Jennifer Flanagan,Jennifer L. Flanagan,MA. State Senator,200.00
12702,10/30/2014,Angelo Scaccia Committee,Angelo Scaccia,MA State Representative,200.00
12703,06/27/2014,Emily's List,Emily's List,n/a,10.00
12703,06/27/2014,Don Berwick,Donald Berwick,"Governor, Massachusetts",10.00
12703,06/27/2014,DCCC,DCCC,n/a,5.50
12703,08/19/2014,Maura Healey,Maura Healey,Attorney General,25.00
12703,08/22/2014,Jeanne Shaheen,Jeanne Shaheen,NH Senate,25.00
12703,10/23/2014,Martha Coakley,Martha Coakley,Governor,10.00
1270,02/11/2014,Fallon,Christopher G. Fallon,State Senator,200.00
1270,02/11/2014,Gaboli,Gaboli,Rep.,200.00
1270,02/11/2014,Petrchelli,Anthony Petruccelli,State Senator,200.00
1270,08/13/2014,Rosenberg,Stanley Rosenberg,Senator,200.00
1270,08/21/2014,Petrucilli,Anthony Petruccelli,Rep,200.00
1270,08/26/2014,Barry Finegold,Barry Finegold,Treasurer,200.00
1270,09/16/2014,Charlie Baker,Charles Baker,Governor,200.00
1270,09/23/2014,Finnegan,Finnegan,Rep.,200.00
1270,09/30/2014,Kulick,Stephen Kulik,Rep.,100.00
1270,10/02/2014,Rush,Rush,Rep.,200.00
1270,10/07/2014,Naughton,Harold Naughton,Rep,200.00
12723,01/31/2014,BAYADA Home Health Care Political Action Committee,BAYADA Home Health Care Political Action Committee,NA,17.50
12725,03/05/2014,Kay Kahn,Kay Khan,"State Representative, 11th Middlesex District",100.00
12725,05/20/2014,Nick Collins,Nicholas P. Collins,"State Representative, 4th Suffolk District",100.00
12725,05/22/2014,Brian Dempsey,Brian Dempsey,"State Representative, 3rd Essex District",100.00
12725,10/01/2014,Martin Walsh,Martin Walsh,Mayor - Boston,100.00
12725,10/28/2014,Linda Dorcena-Forry,Linda Dorcena Forry,State Senate - 1st Suffolk,100.00
1272,06/04/2014,Deborah Goldberg,Deborah Goldberg,State Treasurer,100.00
1272,10/01/2014,Barbara L'Italien,Barbara L'Italien,State Senate-2nd Essex and Middlesex District,100.00
12732,07/04/2014,Jay Livingston,Jay Livingstone,"State Representative, 8th Suffolk District",50.00
12735,09/02/2014,Tolman Committee,Warren Tolman,Attorney General,200.00
12735,09/05/2014,Ivette Hernandez for State Rep,Ivette Hernandez,"State Representative, 10th Hampden District",100.00
12735,10/23/2014,Coakley Committee,Martha Coakley,Governor,200.00
12737,03/24/2014,Felix D. Arroyo,Felix Arroyo,Suffolk County Register of Probate,200.00
12737,08/12/2014,Warren Tolman,Warren Tolman,Attorney General,200.00
12763,05/12/2014,Barry R. Finegold,Barry Finegold,State Treasurer and Receiver General,200.00
12771,01/13/2014,Therese Murray,Therese Murray,Senate/Plymouth & Barnstable,125.00
12771,04/14/2014,Robert DeLeo,Robert DeLeo,House/19th Suffolk,125.00
12771,05/12/2014,Brian S. Dempsey,Brian Dempsey,House/3rd Essex,125.00
